SES_Score,HealthIndicator,cluster
65.0,28.0,0
87.0,27.0,1
57.41,25.0,0
44.33,29.0,0
87.32,28.0,1
41.81,30.0,0
74.0,29.0,1
45.16,28.0,0
46.93,28.0,0
93.04,28.0,1
61.0,28.0,0
70.0,28.0,1
42.1,30.0,0
72.82,28.0,1
84.48,26.0,1
58.67,29.0,0
90.0,28.0,1
37.91,27.0,0
44.0,29.0,0
92.42,27.0,1
40.22,29.0,0
96.37,27.0,1
100.02,25.0,1
89.14,27.0,1
79.05,29.0,1
71.11,25.0,1
72.82,27.0,1
63.2,25.0,0
83.82,29.0,1
86.91,29.0,1
75.88,29.0,1
47.43,28.0,0
94.19,31.0,1
63.67,29.0,0
68.0,26.0,1
55.09,29.0,0
81.0,27.0,1
51.0,28.0,0
59.0,29.0,0
55.65,30.0,0
93.36,28.0,1
41.47,27.0,0
70.65,25.0,1
89.82,29.0,1
37.33,28.0,0
54.0,29.0,0
98.0,24.0,1
100.0,24.0,1
84.82,29.0,1
65.08,30.0,0
40.0,29.0,0
75.0,29.0,1
73.0,28.0,1
68.0,27.0,1
89.82,28.0,1
35.269999999999996,28.0,0
67.72999999999999,25.0,0
87.79,24.0,1
89.82,27.0,1
89.52,29.0,1
70.96,29.0,1
85.06,28.0,1
81.97,28.0,1
89.06,29.0,1
100.44,29.0,1
87.43,25.0,1
33.43,30.0,0
81.73,29.0,1
71.0,26.0,1
67.64,29.0,0
45.02,28.0,0
45.0,28.0,0
70.46000000000001,34.0,1
82.0,27.0,1
88.82,26.0,1
101.31,28.0,1
88.23,29.0,1
101.71,23.0,1
80.58,29.0,1
80.0,29.0,1
43.86,26.0,0
47.82,28.0,0
42.82,29.0,0
38.82,28.0,0
103.0,28.0,1
86.0,29.0,1
61.92,28.0,0
46.0,29.0,0
84.0,28.0,1
80.57,26.0,1
79.92,30.0,1
81.0,29.0,1
75.51,27.0,1
95.62,29.0,1
80.07,28.0,1
96.94,28.0,1
59.41,26.0,0
68.2,28.0,1
94.82,27.0,1
82.97,27.0,1
34.82,29.0,0
59.18,26.0,0
69.66,28.0,1
64.24000000000001,27.0,0
100.0,24.0,1
61.82,28.0,0
44.16,27.0,0
76.61,27.0,1
47.61,28.0,0
67.69,26.0,0
71.08,27.0,1
94.41,28.0,1
83.82,28.0,1
75.0,29.0,1
64.17,24.0,0
51.57,30.0,0
72.54,27.0,1
96.17,28.0,1
78.31,23.0,1
49.68,29.0,0
52.61,29.0,0
55.82,29.0,0
91.82,28.0,1
58.0,28.0,0
54.0,29.0,0
34.870000000000005,28.0,0
86.0,28.0,1
66.7,30.0,0
92.0,25.0,1
32.519999999999996,28.0,0
95.0,26.0,1
66.82,30.0,0
71.82,28.0,1
78.0,29.0,1
41.23,26.0,0
61.0,26.0,0
89.82,29.0,1
46.02,28.0,0
56.39,30.0,0
104.82,26.0,1
80.04,25.0,1
95.68,27.0,1
52.97,29.0,0
93.29,28.0,1
85.0,29.0,1
76.01,26.0,1
81.77,27.0,1
64.85,25.0,0
94.73,25.0,1
47.89,28.0,0
70.88,32.0,1
71.28,30.0,1
51.82,29.0,0
49.35,27.0,0
87.61,28.0,1
39.84,27.0,0
81.21,25.0,1
43.37,28.0,0
80.0,30.0,1
70.4,29.0,1
90.13,24.0,1
94.17,28.0,1
73.82,29.0,1
51.0,29.0,0
56.18,25.0,0
31.91,30.0,0
52.09,30.0,0
65.09,25.0,0
76.88,27.0,1
86.0,30.0,1
38.37,27.0,0
85.0,26.0,1
93.87,27.0,1
37.44,30.0,0
89.42,25.0,1
63.88,27.0,0
89.13,29.0,1
77.51,26.0,1
59.79,28.0,0
75.75,22.0,1
93.85,26.0,1
100.0,28.0,1
51.58,28.0,0
73.26,27.0,1
79.57,28.0,1
96.82,26.0,1
45.81,25.0,0
53.85,28.0,0
57.86,27.0,0
77.18,24.0,1
72.0,25.0,1
75.03,28.0,1
53.32,29.0,0
55.91,30.0,0
42.82,29.0,0
92.82,27.0,1
88.62,28.0,1
88.23,27.0,1
36.480000000000004,29.0,0
68.61,27.0,1
61.23,28.0,0
86.0,29.0,1
51.75,28.0,0
40.0,30.0,0
67.39,27.0,0
76.84,27.0,1
57.0,29.0,0
43.69,28.0,0
91.82,29.0,1
56.0,27.0,0
72.22,27.0,1
85.82,27.0,1
61.45,29.0,0
93.0,25.0,1
66.82,29.0,0
43.82,29.0,0
65.88,28.0,0
86.37,28.0,1
63.92,28.0,0
45.65,28.0,0
95.11,29.0,1
73.66,28.0,1
85.44,27.0,1
73.85,25.0,1
64.58,27.0,0
47.8,30.0,0
96.3,27.0,1
52.0,29.0,0
36.0,30.0,0
89.55,28.0,1
81.23,27.0,1
78.25,28.0,1
61.68,29.0,0
39.82,27.0,0
63.0,29.0,0
72.13,26.0,1
78.0,27.0,1
66.88,26.0,0
94.85,29.0,1
41.83,28.0,0
56.1,30.0,0
91.0,29.0,1
88.69,29.0,1
51.82,29.0,0
90.82,29.0,1
97.28,27.0,1
96.92,26.0,1
100.0,36.0,1
65.82,25.0,0
83.3,28.0,1
62.94,28.0,0
34.94,27.0,0
87.0,31.0,1
88.54,29.0,1
54.88,26.0,0
51.75,30.0,0
86.82,27.0,1
69.0,29.0,1
74.69,27.0,1
50.5,30.0,0
86.0,25.0,1
41.15,29.0,0
94.69,27.0,1
61.16,27.0,0
46.12,27.0,0
113.82,27.0,1
69.0,26.0,1
69.68,27.0,1
93.64,28.0,1
46.0,29.0,0
71.21,29.0,1
46.72,29.0,0
82.81,28.0,1
56.55,27.0,0
55.0,30.0,0
49.04,26.0,0
49.0,28.0,0
61.0,29.0,0
68.19,27.0,1
47.41,27.0,0
63.0,27.0,0
94.82,28.0,1
62.06,30.0,0
85.0,24.0,1
77.48,30.0,1
76.07,30.0,1
63.27,26.0,0
33.58,29.0,0
47.17,29.0,0
42.21,30.0,0
81.05,26.0,1
92.96,25.0,1
47.82,29.0,0
61.34,28.0,0
80.82,28.0,1
85.69,26.0,1
43.09,28.0,0
91.82,33.0,1
84.23,28.0,1
89.43,27.0,1
74.13,26.0,1
49.0,27.0,0
49.0,30.0,0
57.16,29.0,0
84.3,28.0,1
49.0,29.0,0
74.0,27.0,1
68.0,30.0,1
50.38,28.0,0
92.28,27.0,1
50.39,29.0,0
53.82,29.0,0
47.82,30.0,0
73.03,29.0,1
91.75,25.0,1
82.37,25.0,1
61.96,27.0,0
88.82,27.0,1
70.0,28.0,1
35.74,29.0,0
80.0,28.0,1
42.47,30.0,0
47.43,26.0,0
65.28,27.0,0
34.53,26.0,0
82.0,29.0,1
78.94,28.0,1
51.42,28.0,0
86.55,25.0,1
85.32,27.0,1
80.0,26.0,1
75.58,27.0,1
91.29,29.0,1
49.96,29.0,0
54.0,30.0,0
61.82,26.0,0
86.59,27.0,1
80.82,29.0,1
42.07,29.0,0
40.82,29.0,0
80.3,27.0,1
46.82,29.0,0
55.05,29.0,0
93.62,29.0,1
75.25,28.0,1
85.0,29.0,1
60.05,30.0,0
88.86,35.0,1
71.81,29.0,1
94.82,27.0,1
75.57,27.0,1
66.75,25.0,0
54.4,27.0,0
104.18,27.0,1
69.61,29.0,1
88.0,28.0,1
54.49,26.0,0
86.34,27.0,1
61.0,27.0,0
74.37,28.0,1
76.6,28.0,1
53.82,29.0,0
81.0,27.0,1
70.0,26.0,1
92.47,28.0,1
60.22,29.0,0
54.77,27.0,0
43.05,29.0,0
65.18,24.0,0
58.0,28.0,0
102.32,29.0,1
55.4,30.0,0
48.0,26.0,0
68.1,27.0,1
91.51,27.0,1
81.15,27.0,1
78.0,26.0,1
85.3,28.0,1
46.82,27.0,0
77.0,28.0,1
83.39,28.0,1
75.96,28.0,1
56.6,30.0,0
79.67,30.0,1
89.82,24.0,1
75.73,26.0,1
97.65,27.0,1
72.82,28.0,1
93.64,29.0,1
98.0,29.0,1
68.21000000000001,28.0,1
90.18,28.0,1
88.82,27.0,1
65.0,29.0,0
98.91,26.0,1
80.71,29.0,1
85.05,27.0,1
61.0,28.0,0
59.28,29.0,0
46.62,26.0,0
84.7,29.0,1
65.82,29.0,0
76.0,37.0,1
53.0,27.0,0
95.65,25.0,1
64.07,26.0,0
65.0,28.0,0
53.85,28.0,0
41.82,27.0,0
95.0,27.0,1
92.55,30.0,1
95.75,26.0,1
75.79,26.0,1
91.62,24.0,1
52.86,29.0,0
96.57,26.0,1
69.9,29.0,1
84.92,28.0,1
93.3,28.0,1
62.11,27.0,0
63.34,25.0,0
31.93,27.0,0
73.82,28.0,1
51.31,29.0,0
104.0,34.0,1
95.46,29.0,1
79.18,25.0,1
80.79,28.0,1
78.59,27.0,1
36.82,26.0,0
49.4,28.0,0
83.82,30.0,1
